Cidades Brasileiras,,,,,,,,
Fonte: https://www.kaggle.com/crisparada/brazilian-cities/downloads/brazilian-cities.zip/6,,,,,,,,
,,,,,,,,
Município,Estado,IBGE_1-4,IDHM,IDHM_Renda,IDHM_Educacao,GDP_CAPITA,COMP_P,Valor Vazio
Mojuí Dos Campos,PA,,,,,8831.56,41,1
Paraíso Das Águas,MS,,,,,92163.92,3,1
Balneário Rincão,SC,,,,,17788.63,3,1
Pescaria Brava,SC,,,,,8341.33,14,1
Santa Terezinha,BA,126,,,,6796.16,12,1
Pinto Bandeira,RS,,,,,18184.45,1,1
Lagoa Dos Patos,RS,,,,,,,1
Santa Teresinha,BA,,0.59,0.549,0.459,,,1
São Caetano,PE,,,,,,,1
São Paulo,SP,514794,0.805,0.843,0.725,57071.43,16030,0
Osasco,SP,32305,0.78,0.776,0.718,106841.78,527,0
Rio De Janeiro,RJ,235380,0.799,0.84,0.719,50690.82,6744,0
Brasília,DF,143641,0.82,0.863,0.742,79099.77,3043,0
Porto Alegre,RS,58369,0.805,0.867,0.702,49577.53,2217,0
Belo Horizonte,MG,99493,0.81,0.841,0.737,35122.01,3325,0
Barueri,SP,13818,0.79,0.791,0.708,177735.3,322,0
Recife,PE,54720,0.772,0.798,0.698,30477.73,1572,0
Santos,SP,15666,0.84,0.861,0.807,50544.73,569,0
Curitiba,PR,81910,0.823,0.85,0.768,44239.2,3030,0
Salvador,BA,91470,0.759,0.772,0.679,20796.62,2409,0
Campinas,SP,46027,0.805,0.829,0.731,49876.62,1508,0
Ribeirão Preto,SP,27081,0.8,0.82,0.739,44463.8,969,0
Uberlândia,MG,29862,0.789,0.776,0.716,48585.36,800,0
Rondonópolis,MT,11584,0.755,0.749,0.698,43024.92,204,0
Fortaleza,CE,129766,0.754,0.749,0.695,23045.09,2379,0
Goiânia,GO,66571,0.799,0.824,0.739,32209.01,1712,0
Lucas Do Rio Verde,MT,2772,0.768,0.766,0.71,62202.25,55,0
São Bernardo Do Campo,SP,29282,0.805,0.807,0.752,51239.64,836,0
Guarulhos,SP,58730,0.763,0.746,0.717,40367.54,992,0
Santo André,SP,29315,0.815,0.819,0.769,36249.85,880,0
Manaus,AM,125335,0.737,0.738,0.658,33564.11,1021,0
Cuiabá,MT,31210,0.785,0.8,0.726,37930.34,657,0
Niterói,RJ,14642,0.84,0.887,0.773,46202.31,695,0
Jundiaí,SP,14800,0.82,0.834,0.768,98049.82,586,0
Tangará Da Serra,MT,4639,0.73,0.749,0.626,30632.81,81,0
Londrina,PR,24491,0.778,0.789,0.712,33374.97,730,0
Sorocaba,SP,28554,0.8,0.792,0.762,46888.51,741,0
São Caetano Do Sul,SP,5477,0.862,0.891,0.811,83656.3,270,0
São José Dos Campos,SP,29167,0.807,0.804,0.764,53615.25,816,0
Belém,PA,77895,0.746,0.751,0.673,20350,617,0
São José Do Rio Preto,SP,17586,0.797,0.801,0.748,35230.47,512,0
Araçatuba,SP,8029,0.79,0.782,0.744,35797.47,224,0
Campo Grande,MS,44074,0.784,0.79,0.724,29442.66,714,0
Rio Verde,GO,10158,0.754,0.765,0.656,39288.71,199,0
Piracicaba,SP,15991,0.785,0.797,0.717,54656.57,409,0
Barreiras,BA,8402,0.721,0.695,0.668,21596.35,103,0
Varginha,MG,5875,0.778,0.76,0.707,33603.82,130,0
Florianópolis,SC,17158,0.847,0.87,0.8,39048.21,848,0
Maringá,PR,16007,0.81,0.806,0.768,39996.43,569,0
Blumenau,SC,12793,0.81,0.812,0.722,44791.08,474,0
Joinville,SC,24701,0.809,0.795,0.749,44268.54,643,0
Vitória,ES,13665,0.845,0.876,0.805,60427.74,568,0
Caxias Do Sul,RS,18929,0.782,0.812,0.686,44007.35,672,0
Chapadão Do Sul,MS,1061,0.754,0.758,0.665,64356.21,20,0
Contagem,MG,30911,0.76,0.745,0.697,40512.94,519,0
Juiz De Fora,MG,22216,0.778,0.784,0.711,25968.58,648,0
Bauru,SP,16362,0.8,0.8,0.752,35577.22,406,0
Mogi Das Cruzes,SP,19844,0.78,0.762,0.74,33602.58,375,0
Natal,RN,41558,0.763,0.768,0.694,24890.54,844,0
Itápolis,SP,1579,0.74,0.738,0.667,27691.66,33,0
Americana,SP,9428,0.81,0.8,0.76,44417.02,306,0
Presidente Prudente,SP,9779,0.81,0.788,0.774,33101.42,257,0
Cascavel,PR,13850,0.782,0.776,0.728,34106.93,368,0
Duque De Caxias,RJ,45017,0.711,0.692,0.624,44939.65,507,0
Diadema,SP,19917,0.757,0.717,0.716,31865.08,288,0
Marília,SP,9500,0.8,0.768,0.776,31473.42,235,0
Patos De Minas,MG,5763,0.765,0.749,0.698,27995.83,157,0
João Pessoa,PB,37313,0.763,0.77,0.693,23345.93,712,0
Nova Iguaçu,RJ,42403,0.713,0.691,0.641,20625.93,582,0
Limeira,SP,13019,0.775,0.761,0.719,37057.35,269,0
Campos Dos Goytacazes,RJ,22710,0.716,0.715,0.619,35475.94,436,0
São Luís,MA,54955,0.768,0.741,0.752,26154.25,582,0
São Gonçalo,RJ,46890,0.74,0.711,0.681,16216.45,668,0
Franca,SP,16558,0.78,0.749,0.753,28108.23,403,0
Indaiatuba,SP,10191,0.79,0.791,0.738,49861.28,274,0
Petrópolis,RJ,12167,0.745,0.763,0.639,42564.57,267,0
Taubaté,SP,13878,0.8,0.778,0.746,46320.15,387,0
Maceió,AL,52009,0.721,0.739,0.635,20853.41,709,0
Ponta Grossa,PR,15508,0.763,0.755,0.703,38035.14,374,0
Balsas,MA,5853,0.687,0.674,0.597,25591.91,92,0
São Carlos,SP,10039,0.805,0.788,0.766,41281.81,390,0
Chapecó,SC,9100,0.79,0.779,0.727,39693.55,204,0
Macaé,RJ,11913,0.764,0.792,0.681,73412.55,251,0
Araraquara,SP,9031,0.815,0.788,0.782,39065.74,239,0
Volta Redonda,RJ,11542,0.77,0.763,0.72,39679.43,263,0
Criciúma,SC,8844,0.79,0.786,0.737,32968.64,184,0
Feira De Santana,BA,26735,0.71,0.71,0.619,21051.29,565,0
Uberaba,MG,13981,0.772,0.772,0.705,41360.17,301,0
Novo Hamburgo,RS,10681,0.747,0.778,0.629,34620.19,291,0
Itajaí,SC,8253,0.795,0.778,0.73,92266.86,236,0
Cotia,SP,10229,0.78,0.789,0.707,47033.14,335,0
Taboão Da Serra,SP,14077,0.769,0.742,0.71,30259.41,218,0
Palmas,TO,15148,0.79,0.789,0.749,28974.17,261,0
Itu,SP,7411,0.773,0.782,0.692,45313.77,198,0
Aracaju,SE,32261,0.77,0.784,0.708,25717.68,565,0
Mauá,SP,20512,0.77,0.721,0.733,30509,289,0
São José Dos Pinhais,PR,14361,0.758,0.749,0.678,66531.31,231,0
Teresina,PI,43726,0.75,0.731,0.707,22597.68,560,0
Guarapuava,PR,8989,0.731,0.73,0.628,29319.05,130,0
Jataí,GO,4702,0.757,0.774,0.656,41620.42,59,0
Imperatriz,MA,15491,0.731,0.697,0.698,27482.99,154,0
Ipatinga,MG,12476,0.77,0.752,0.705,32711.16,248,0
Valinhos,SP,4177,0.82,0.848,0.763,41711.77,187,0
Querência,MT,377,0.69,0.701,0.565,75163.71,18,0
Rio Claro,SP,8608,0.8,0.784,0.766,43966.89,183,0
Nova Friburgo,RJ,7204,0.745,0.758,0.645,25979.3,211,0
Anápolis,GO,16632,0.737,0.737,0.66,35372.45,377,0
Praia Grande,SP,14139,0.754,0.744,0.692,20285.44,198,0
Betim,MG,22167,0.75,0.709,0.687,59534.12,293,0
Guarujá,SP,13113,0.75,0.729,0.679,25224.38,184,0
Bragança Paulista,SP,5960,0.78,0.772,0.704,31346.47,211,0
São Vicente,SP,13667,0.768,0.738,0.716,14096.68,251,0
São Leopoldo,RS,11426,0.74,0.766,0.612,31853.01,197,0
Sertãozinho,SP,5685,0.76,0.768,0.672,42168.34,128,0
São João De Meriti,RJ,23189,0.72,0.693,0.646,20434.26,263,0
Jaraguá Do Sul,SC,4296,0.8,0.793,0.755,46429.86,180,0
Suzano,SP,14607,0.765,0.708,0.723,32871.69,236,0
Sumaré,SP,13415,0.762,0.744,0.705,44750.01,195,0
Pelotas,RS,12812,0.74,0.758,0.632,22629.54,241,0
Sorriso,MT,4139,0.74,0.774,0.635,68132.44,79,0
Canoas,RS,17051,0.75,0.768,0.636,56995.33,346,0
Passo Fundo,RS,9256,0.78,0.787,0.699,42459.59,270,0
Araras,SP,5302,0.78,0.763,0.728,38412.06,112,0
Vila Velha,ES,19053,0.8,0.807,0.734,23011.31,391,0
Montes Claros,MG,19192,0.77,0.707,0.744,21943.89,329,0
Jacareí,SP,10679,0.777,0.749,0.749,43735.14,164,0
Porto Velho,RO,25876,0.736,0.764,0.638,28836.46,296,0
